Freeness,Consistency,Correction
20,0.2,0
30,0.2,0
40,0.2,-22
50,0.2,-25
60,0.2,-28
70,0.2,-31
80,0.2,-33
90,0.2,-36
100,0.2,-38
110,0.2,-40
120,0.2,-42
130,0.2,-44
140,0.2,-46
150,0.2,-48
160,0.2,-50
170,0.2,-52
180,0.2,-54
190,0.2,-56
200,0.2,-58
210,0.2,-60
220,0.2,-61
230,0.2,-62
240,0.2,-63
250,0.2,-64
260,0.2,-65
270,0.2,-67
280,0.2,-68
290,0.2,-70
300,0.2,-72
310,0.2,-73
320,0.2,-75
330,0.2,-77
340,0.2,-78
350,0.2,-79
360,0.2,-80
370,0.2,-81
380,0.2,-81
390,0.2,-82
400,0.2,-82
420,0.2,-83
440,0.2,-83
460,02,-83
480,0.2,-83
500,0.2,-83
520,0.2,-82
540,0.2,-80
560,0.2,-78
580,0.2,-76
600,0.2,-75
620,0.2,-74
640,0.2,-73
660,0.2,-71
680,0.2,-70
700,0.2,-69
20,0.21,0
30,0.21,0
40,0.21,-20
50,0.21,-23
60,0.21,-25
70,0.21,-27
80,0.21,-29
90,0.21,-31
100,0.21,-33
110,0.21,-35
120,0.21,-37
130,0.21,-39
140,0.21,-41
150,0.21,-43
160,0.21,-44
170,0.21,-46
180,0.21,-48
190,0.21,-49
200,0.21,-51
210,0.21,-53
220,0.21,-54
230,0.21,-55
240,0.21,-56
250,0.21,-57
260,0.21,-58
270,0.21,-59
280,0.21,-60
290,0.21,-62
300,0.21,-64
310,0.21,-65
320,0.21,-66
330,0.21,-68
340,0.21,-69
350,0.21,-70
360,0.21,-70
370,0.21,-71
380,0.21,-71
390,0.21,-72
400,0.21,-72
420,0.21,-72
440,0.21,-73
460,0.21,-73
480,0.21,-73
500,0.21,-73
520,0.21,-72
540,0.21,-71
560,0.21,-69
580,0.21,-67
600,0.21,-66
620,0.21,-65
640,0.21,-64
660,0.21,-63
680,0.21,-63
700,0.21,-62
20,0.22,0
30,0.22,0
40,0.22,-18
50,0.22,-20
60,0.22,-22
70,0.22,-23
80,0.22,-25
90,0.22,-27
100,0.22,-29
110,0.22,-31
120,0.22,-33
130,0.22,-35
140,0.22,-36
150,0.22,-37
160,0.22,-39
170,0.22,-40
180,0.22,-42
190,0.22,-43
200,0.22,-45
210,0.22,-46
220,0.22,-47
230,0.22,-48
240,0.22,-49
250,0.22,-50
