Freeness,Temperature,Correction
30,10,11
40,10,12
50,10,14
60,10,15
70,10,17
80,10,19
90,10,20
100,10,21
110,10,23
120,10,25
130,10,26
140,10,27
150,10,29
160,10,30
170,10,31
180,10,32
190,10,33
200,10,34
210,10,35
220,10,36
230,10,37
240,10,38
250,10,39
260,10,40
270,10,41
280,10,42
290,10,42
300,10,43
310,10,43
320,10,43
330,10,44
340,10,44
350,10,44
360,10,44
370,10,45
380,10,45
390,10,45
400,10,46
420,10,45
440,10,45
460,10,44
480,10,43
500,10,42
520,10,42
540,10,42
560,10,41
580,10,41
600,10,40
620,10,39
640,10,37
660,10,36
680,10,35
700,10,33
30,11,9
40,11,10
50,11,12
60,11,14
70,11,15
80,11,17
90,11,18
100,11,19
110,11,21
120,11,22
130,11,23
140,11,24
150,11,26
160,11,27
170,11,28
180,11,29
190,11,30
200,11,31
210,11,32
220,11,33
230,11,34
240,11,35
250,11,36
260,11,37
270,11,38
280,11,38
290,11,39
300,11,39
310,11,40
320,11,40
330,11,40
340,11,40
350,11,40
360,11,40
370,11,41
380,11,41
390,11,41
400,11,41
420,11,41
440,11,41
460,11,40
480,11,39
500,11,38
520,11,38
540,11,37
560,11,37
580,11,36
600,11,36
620,11,35
640,11,33
660,11,32
680,11,31
700,11,30
30,12,8
40,12,9
50,12,11
60,12,12
70,12,13
80,12,15
90,12,16
100,12,17
110,12,18
120,12,20
130,12,21
140,12,22
150,12,23
160,12,24
170,12,25
180,12,26
190,12,26
200,12,27
210,12,28
220,12,20
230,12,30
240,12,31
250,12,31
260,12,32
270,12,33
280,12,34
290,12,34
300,12,34
310,12,34
320,12,34
330,12,35
340,12,35
350,12,35
360,12,35
370,12,36
380,12,36
390,12,36
400,12,37
420,12,36
440,12,36
460,12,35
480,12,34
500,12,34
520,12,33
540,12,32
560,12,32
580,12,32
600,12,32
620,12,31
640,12,29
660,12,28
680,12,27
700,12,26
30,13,7
40,13,8
50,13,10
60,13,11
70,13,12
80,13,13
90,13,14
100,13,15
110,13,16
120,13,17
130,13,18
140,13,19
150,13,20
160,13,21
170,13,22
180,13,22
190,13,23
200,13,24
210,13,24
220,13,25
230,13,26
240,13,27
250,13,27
260,13,28
270,13,29
280,13,29
290,13,29
300,13,30
310,13,30
320,13,30
330,13,31
340,13,31
350,13,31
360,13,31
370,13,31
380,13,31
390,13,31
400,13,32
420,13,31
440,13,31
460,13,31
480,13,30
500,13,29
520,13,28
540,13,28
560,13,28
580,13,28
600,13,28
620,13,27
640,13,25
660,13,25
680,13,24
700,13,23
30,14,6
40,14,7
50,14,8
60,14,9
70,14,10
80,14,11
90,14,12
100,14,13
110,14,14
120,14,15
130,14,16
140,14,16
150,14,17
160,14,18
170,14,18
180,14,19
190,14,20
200,14,20
210,14,21
220,14,22
230,14,22
240,14,23
250,14,23
260,14,24
270,14,24
280,14,25
290,14,25
300,14,25
310,14,25
320,14,25
330,14,26
340,14,26
350,14,26
360,14,26
370,14,26
380,14,27
390,14,27
400,14,28
420,14,27
440,14,27
460,14,27
480,14,25
500,14,25
520,14,24
540,14,24
560,14,24
580,14,24
600,14,24
620,14,23
640,14,21
660,14,21
680,14,20
700,14,20
30,15,5
40,15,6
50,15,7
60,15,8
70,15,8
80,15,9
90,15,10
100,15,10
110,15,11
120,15,12
130,15,13
140,15,14
150,15,14
160,15,15
170,15,15
180,15,16
190,15,16
200,15,17
210,15,18
220,15,18
230,15,19
240,15,19
250,15,20
260,15,20
270,15,20
280,15,21
290,15,21
300,15,21
310,15,21
320,15,21
330,15,22
340,15,22
350,15,22
360,15,22
370,15,22
380,15,22
390,15,22
400,15,22
420,15,22
440,15,22
460,15,22
480,15,21
500,15,21
520,15,20
540,15,20
560,15,20
580,15,20
600,15,20
620,15,19
640,15,18
660,15,17
680,15,17
700,15,16
30,16,4
40,16,5
50,16,6
60,16,6
70,16,8
80,16,8
90,16,8
100,16,9
110,16,10
120,16,11
130,16,11
140,16,11
150,16,12
160,16,12
170,16,13
180,16,13
190,16,13
200,16,13
210,16,14
220,16,14
230,16,15
240,16,15
250,16,16
260,16,16
270,16,16
280,16,17
290,16,17
300,16,17
310,16,17
320,16,17
330,16,18
340,16,18
350,16,18
360,16,18
370,16,18
380,16,18
390,16,18
400,16,18
420,16,18
440,16,18
460,16,18
480,16,17
500,16,17
520,16,16
540,16,16
560,16,16
580,16,16
600,16,16
620,16,16
640,16,16
660,16,14
680,16,14
700,16,13
30,17,3
40,17,3
50,17,4
60,17,4
70,17,5
80,17,6
90,17,6
100,17,6
110,17,7
120,17,7
130,17,8
140,17,8
150,17,8
160,17,9
170,17,9
180,17,9
190,17,10
200,17,10
210,17,10
220,17,10
230,17,11
240,17,11
250,17,12
260,17,12
270,17,12
280,17,13
290,17,13
300,17,13
310,17,13
320,17,13
330,17,13
340,17,13
350,17,13
360,17,13
370,17,13
380,17,13
390,17,14
400,17,14
420,17,14
440,17,13
460,17,13
480,17,13
500,17,13
520,17,12
540,17,12
560,17,12
580,17,12
600,17,12
620,17,12
640,17,11
660,17,10
680,17,10
700,17,9
30,18,2
40,18,2
50,18,3
60,18,3
70,18,3
80,18,4
90,18,4
100,18,4
110,18,5
120,18,5
130,18,5
140,18,5
150,18,6
160,18,6
170,18,6
180,18,6
190,18,6
200,18,7
210,18,7
220,18,7
230,18,7
240,18,8
250,18,8
260,18,8
270,18,8
280,18,8
290,18,8
300,18,8
310,18,8
320,18,9
330,18,9
340,18,9
350,18,9
360,18,9
370,18,9
380,18,9
390,18,9
400,18,9
420,18,9
440,18,9
460,18,9
480,18,8
500,18,8
520,18,8
540,18,8
560,18,8
580,18,8
600,18,8
620,18,8
640,18,7
660,18,7
680,18,6
700,18,6
30,19,1
40,19,1
50,19,1
60,19,1
70,19,2
80,19,2
90,19,2
100,19,2
110,19,2
120,19,2
130,19,3
140,19,3
150,19,3
160,19,3
170,19,3
180,19,3
190,19,3
200,19,3
210,19,3
220,19,4
230,19,4
240,19,4
250,19,4
260,19,4
270,19,4
280,19,4
290,19,4
300,19,4
310,19,4
320,19,4
330,19,4
340,19,4
350,19,4
360,19,4
370,19,4
380,19,4
390,19,4
400,19,4
420,19,4
440,19,4
460,19,4
480,19,4
500,19,4
520,19,4
540,19,4
560,19,4
580,19,4
600,19,4
620,19,4
640,19,3
660,19,3
680,19,3
700,19,3
30,20,0
40,20,0
50,20,0
60,20,0
70,20,0
80,20,0
90,20,0
100,20,0
110,20,0
120,20,0
130,20,0
140,20,0
150,20,0
160,20,0
170,20,0
180,20,0
190,20,0
200,20,0
210,20,0
220,20,0
230,20,0
240,20,0
250,20,0
260,20,0
270,20,0
280,20,0
290,20,0
300,20,0
310,20,0
320,20,0
330,20,0
340,20,0
350,20,0
360,20,0
370,20,0
380,20,0
390,20,0
400,20,0
420,20,0
440,20,0
460,20,0
480,20,0
500,20,0
520,20,0
540,20,0
560,20,0
580,20,0
600,20,0
620,20,0
640,20,0
660,20,0
680,20,0
700,20,0
30,21,-1
40,21,-1
50,21,-1
60,21,-1
70,21,-2
80,21,-2
90,21,-2
100,21,-2
110,21,-2
120,21,-2
130,21,-3
140,21,-3
150,21,-3
160,21,-3
170,21,-3
180,21,-3
190,21,-3
200,21,-3
210,21,-3
220,21,-4
230,21,-4
240,21,-4
250,21,-4
260,21,-4
270,21,-4
280,21,-4
290,21,-4
300,21,-4
310,21,-4
320,21,-4
330,21,-4
340,21,-4
350,21,-4
360,21,-4
370,21,-4
380,21,-4
390,21,-4
400,21,-4
420,21,-4
440,21,-4
460,21,-4
480,21,-4
500,21,-4
520,21,-4
540,21,-4
560,21,-4
580,21,-4
600,21,-4
620,21,-4
640,21,-4
660,21,-3
680,21,-3
700,21,-3
30,22,-2
40,22,-2
50,22,-3
60,22,-3
70,22,-3
80,22,-4
90,22,-4
100,22,-4
110,22,-5
120,22,-5
130,22,-5
140,22,-5
150,22,-6
160,22,-6
170,22,-6
180,22,-6
190,22,-6
200,22,-7
210,22,-7
220,22,-7
230,22,-7
240,22,-8
250,22,-8
260,22,-8
270,22,-8
280,22,-8
290,22,-8
300,22,-8
310,22,-8
320,22,-8
330,22,-9
340,22,-9
350,22,-9
360,22,-9
370,22,-9
380,22,-9
390,22,-9
400,22,-9
420,22,-9
440,22,-9
460,22,-9
480,22,-8
500,22,-8
520,22,-8
540,22,-8
560,22,-8
580,22,-8
600,22,-8
620,22,-8
640,22,-7
660,22,-7
680,22,-6
700,22,-6
30,23,-3
40,23,-3
50,23,-4
60,23,-4
70,23,-5
80,23,-6
90,23,-6
100,23,-6
110,23,-7
120,23,-7
130,23,-8
140,23,-8
150,23,-9
160,23,-9
170,23,-9
180,23,-10
190,23,-10
200,23,-10
210,23,-10
220,23,-10
230,23,-11
240,23,-11
250,23,-12
260,23,-12
270,23,-13
280,23,-13
290,23,-13
300,23,-13
310,23,-13
320,23,-13
330,23,-13
340,23,-13
350,23,-13
360,23,-13
370,23,-13
380,23,-13
390,23,-14
400,23,-14
420,23,-14
440,23,-13
460,23,-13
480,23,-13
500,23,-13
520,23,-12
540,23,-12
560,23,-12
580,23,-12
600,23,-12
620,23,-12
640,23,-11
660,23,-10
680,23,-10
700,23,-9
30,24,-4
40,24,-5
50,24,-6
60,24,-6
70,24,-7
80,24,-8
90,24,-8
100,24,-8
110,24,-9
120,24,-10
130,24,-11
140,24,-11
150,24,-11
160,24,-12
170,24,-12
180,24,-13
190,24,-13
200,24,-13
210,24,-14
220,24,-14
230,24,-15
240,24,-15
250,24,-16
260,24,-16
270,24,-16
280,24,-17
290,24,-17
300,24,-17
310,24,-17
320,24,-17
330,24,-18
340,24,-18
350,24,-18
360,24,-18
370,24,-18
380,24,-18
390,24,-18
400,24,-18
420,24,-18
440,24,-18
460,24,-18
480,24,-17
500,24,-17
520,24,-16
540,24,-16
560,24,-16
580,24,-16
600,24,-16
620,24,-16
640,24,-14
660,24,-14
680,24,-13
700,24,-13
30,25,-5
40,25,-6
50,25,-7
60,25,-8
70,25,-8
80,25,-9
90,25,-10
100,25,-10
110,25,-11
120,25,-12
130,25,-13
140,25,-14
150,25,-14
160,25,-15
170,25,-15
180,25,-16
190,25,-16
200,25,-17
210,25,-18
220,25,-18
230,25,-19
240,25,-19
250,25,-20
260,25,-20
270,25,-20
280,25,-21
290,25,-21
300,25,-21
310,25,-21
320,25,-21
330,25,-22
340,25,-22
350,25,-22
360,25,-22
370,25,-22
380,25,-22
390,25,-23
400,25,-23
420,25,-23
440,25,-22
460,25,-22
480,25,-21
500,25,-21
520,25,-20
540,25,-20
560,25,-20
580,25,-20
600,25,-20
620,25,-19
640,25,-19
660,25,-17
680,25,-17
700,25,-16
30,26,-6
40,26,-7
50,26,-8
60,26,-9
70,26,-10
80,26,-11
90,26,-12
100,26,-13
110,26,-14
120,26,-15
130,26,-16
140,26,-16
150,26,-17
160,26,-18
170,26,-18
180,26,-19
190,26,-20
200,26,-20
210,26,-21
220,26,-22
230,26,-22
240,26,-23
250,26,-23
260,26,-24
270,26,-24
280,26,-25
290,26,-25
300,26,-25
310,26,-25
320,26,-25
330,26,-26
340,26,-26
350,26,-26
360,26,-26
370,26,-26
380,26,-27
390,26,-27
400,26,-28
420,26,-27
440,26,-27
460,26,-27
480,26,-25
500,26,-25
520,26,-24
540,26,-24
560,26,-24
580,26,-24
600,26,-24
620,26,-23
640,26,-21
660,26,-21
680,26,-20
700,26,-20
30,27,-7
40,27,-8
50,27,-10
60,27,-11
70,27,-12
80,27,-13
90,27,-14
100,27,-15
110,27,-16
120,27,-17
130,27,-18
140,27,-19
150,27,-20
160,27,-21
170,27,-22
180,27,-22
190,27,-23
200,27,-24
210,27,-25
220,27,-26
230,27,-27
240,27,-27
250,27,-28
260,27,-29
270,27,-29
280,27,-29
290,27,-30
300,27,-30
310,27,-30
320,27,-30
330,27,-31
340,27,-31
350,27,-31
360,27,-31
370,27,-31
380,27,-31
390,27,-32
400,27,-31
420,27,-31
440,27,-31
460,27,-31
480,27,-30
500,27,-29
520,27,-28
540,27,-28
560,27,-28
580,27,-28
600,27,-28
620,27,-27
640,27,-25
660,27,-25
680,27,-24
700,27,-23
30,28,-8
40,28,-9
50,28,-11
60,28,-12
70,28,-13
80,28,-15
90,28,-16
